1,1,08:10-09:00
2,2,09:05-09:55
3,3,10:15-11:05
4,4,11:10-12:00
5,N,12:05-12:55
6,5,13:10-14:00
7,6,14:05-14:55
8,7,15:15-16:05
9,8,16:10-17:00
10,9,17:10-18:00
11,10,18:20-19:10
12,11,19:15-20:05
13,12,20:10-21:00
14,13,21:05-21:55
